site_id,group,mae,rmse,nmae,nrmse,normalization_capacity,shape,stage,seed
6,stage4a_cross_attention,0.0577744953,0.1138421744,0.0577744953,0.1138421744,1.0000000000,"[2545, 24]",4B,2023
7,stage4a_cross_attention,0.0574687570,0.1058270633,0.0574687570,0.1058270633,1.0000000000,"[2545, 24]",4B,2023
8,stage4a_cross_attention,0.0432602316,0.0817670971,0.0432602316,0.0817670971,1.0000000000,"[2545, 24]",4B,2023
9,stage4a_cross_attention,0.0492387041,0.0968581513,0.0492387041,0.0968581513,1.0000000000,"[2545, 24]",4B,2023
0,cora_aligned,0.0466894731,0.0909835026,0.0466894731,0.0909835026,1.0000000000,"[2545, 24]",4B,2023
1,cora_aligned,0.0530090258,0.1012996361,0.0530090258,0.1012996361,1.0000000000,"[2545, 24]",4B,2023
2,cora_aligned,0.0454583243,0.0916128680,0.0454583243,0.0916128680,1.0000000000,"[2545, 24]",4B,2023
3,cora_aligned,0.0469776578,0.0965864435,0.0469776578,0.0965864435,1.0000000000,"[2545, 24]",4B,2023
4,cora_aligned,0.0497390442,0.0961490944,0.0497390442,0.0961490944,1.0000000000,"[2545, 24]",4B,2023
5,cora_aligned,0.0474090800,0.0938643590,0.0474090800,0.0938643590,1.0000000000,"[2545, 24]",4B,2023
6,cora_aligned,0.0563870929,0.1107939854,0.0563870929,0.1107939854,1.0000000000,"[2545, 24]",4B,2023
7,cora_aligned,0.0550481975,0.1020064428,0.0550481975,0.1020064428,1.0000000000,"[2545, 24]",4B,2023
8,cora_aligned,0.0419233218,0.0794220567,0.0419233218,0.0794220567,1.0000000000,"[2545, 24]",4B,2023
9,cora_aligned,0.0500326082,0.0975302905,0.0500326082,0.0975302905,1.0000000000,"[2545, 24]",4B,2023
0,cora_shuffled,0.0777604952,0.1717837602,0.0777604952,0.1717837602,1.0000000000,"[2545, 24]",4B,2023
1,cora_shuffled,0.0836748034,0.1792743504,0.0836748034,0.1792743504,1.0000000000,"[2545, 24]",4B,2023
2,cora_shuffled,0.0827913955,0.1792762727,0.0827913955,0.1792762727,1.0000000000,"[2545, 24]",4B,2023
3,cora_shuffled,0.0815013051,0.1685002744,0.0815013051,0.1685002744,1.0000000000,"[2545, 24]",4B,2023
4,cora_shuffled,0.0842224956,0.1781974286,0.0842224956,0.1781974286,1.0000000000,"[2545, 24]",4B,2023
5,cora_shuffled,0.0818684623,0.1783798188,0.0818684623,0.1783798188,1.0000000000,"[2545, 24]",4B,2023
6,cora_shuffled,0.0869608521,0.1793201417,0.0869608521,0.1793201417,1.0000000000,"[2545, 24]",4B,2023
7,cora_shuffled,0.0917735398,0.1946548671,0.0917735398,0.1946548671,1.0000000000,"[2545, 24]",4B,2023
8,cora_shuffled,0.0755053386,0.1599678248,0.0755053386,0.1599678248,1.0000000000,"[2545, 24]",4B,2023
9,cora_shuffled,0.0825145394,0.1730296314,0.0825145394,0.1730296314,1.0000000000,"[2545, 24]",4B,2023
